! 9721
  940834
$ 1
' 26920
& 70
) 1
( 1
- 9944
, 91401
. 39468
1 2
0 1
3 1
2 4
5 2
4 2
7 1
6 2
9 1
8 2
; 17102
: 14992
? 11180
A 45241
C 18437
B 12680
E 35897
D 13302
G 10519
F 10662
I 53798
H 16833
K 5558
J 1825
M 14585
L 23141
O 28832
N 25732
Q 1189
P 9617
S 29697
R 24525
U 15204
T 36240
W 14725
V 3570
Y 7529
X 378
[ 693
Z 550
] 692
a 259391
c 71335
b 49372
e 435790
d 143302
g 60806
f 73056
i 212177
h 232470
k 32049
j 2916
m 102177
l 155589
o 299984
n 229865
q 2922
p 49851
s 230001
r 222847
u 121830
t 310328
w 78712
v 36326
y 90827
x 4953
z 1379
