t] 4
o? 478
G' 9
G  1850
G. 15
G- 1
G, 12
-O 64
GU 417
-N 9
GS 96
GR 362
tR 1
-H 49
GE 894
GB 184
GA 666
GO 649
GN 49
-J 64
GI 34
GH 319
-U 3
Gu 106
Gr 466
tO 6
-W 23
Ge 603
-V 1
Ga 211
Go 2206
Gn 1
Gl 195
Gi 431
Gh 91
tH 6
-R 3
o; 543
Z, 24
Z  179
Z: 3
ZO 56
ZH 1
ZE 53
ZA 206
&  70
tz 27
ZW 8
 4 2
Zo 18
Ze 2
-b 470
tv 2
-l 274
-o 90
tu 4186
-i 82
-h 387
tp 14
-u 25
m' 444
m! 246
m  12288
-t 351
m- 58
m, 2173
m. 1388
-w 332
-v 63
tj 6
m? 335
m; 534
m: 520
mD 1
mA 4
-s 443
9. 1
mM 1
mO 1
ti 13418
mI 2
mH 1
mT 5
mW 1
mS 2
m] 3
me 27489
mg 1
mf 303
ma 15648
mc 1
mb 2215
mm 1356
ml 293
mo 8945
mn 446
mi 6222
mh 1
mu 3647
mt 21
mw 30
mv 7
mp 3246
ms 1827
mr 14
my 12458
Le 1350
La 650
Lo 1803
Ll 1
Li 437
Lu 238
Ly 63
LF 12
LD 268
LE 3782
LB 197
LC 284
LA 2852
LN 3
LO 2730
LL 1719
LM 50
LK 251
LI 2568
LV 201
LT 144
LU 1363
LS 618
LP 179
L] 7
LY 466
L' 3
L  842
L. 2
L, 57
AS 1175
L; 1
GL 652
-  1233
rT 15
rU 1
rW 1
rP 1
rR 1
rS 4
r] 7
rY 1
rD 1
rE 1
rA 4
rB 1
rC 1
rL 2
rM 1
rO 3
rH 3
rI 4
rt 10935
ru 4535
rv 1881
rw 463
rp 900
rq 27
rr 3968
rs 11822
ry 5447
rz 3
rd 11038
re 44316
rf 821
rg 1652
ra 12808
rb 592
rc 2375
rl 2041
rm 2607
rn 3620
ro 15685
rh 216
ri 13820
rj 56
rk 1647
r? 968
r: 1231
r; 1397
r' 2501
r  52275
r! 666
r, 6863
r- 555
r. 3064
t! 838
VY 19
Qu 168
QU 1021
d. 3717
d, 8748
d- 396
d' 727
d  69158
d! 878
d? 1009
d: 1394
d; 1778
dn 463
do 9751
dl 1042
dm 311
dj 17
dk 46
dh 24
di 8555
df 180
dg 776
dd 815
de 15551
db 8
dc 28
da 4593
dy 2251
dv 429
dw 314
dt 27
du 1605
dr 2581
ds 6028
dp 17
dN 3
dO 7
dL 2
dM 3
dH 6
dI 3
dF 2
dD 1
dE 1
dB 3
dA 8
d] 10
dY 2
dW 13
dT 17
dU 3
dR 1
w' 534
w! 263
w  8952
w. 526
w- 161
w, 1920
w? 211
w; 226
w: 217
0. 1
wg 4
wf 92
we 13122
wd 230
wc 5
wb 44
wa 8378
wo 8883
wn 3722
wm 13
wl 359
wk 26
wi 17742
wh 10075
wu 3
wt 33
ws 1681
wr 1245
wp 1
wz 1
wy 28
wF 1
wD 1
wC 1
wA 1
wO 2
wM 1
wI 2
wW 4
wT 2
C, 3
C  84
C' 4
C; 1
CK 883
CI 745
CH 1570
CO 914
CM 5
CL 1341
CC 9
CB 238
CA 1748
CE 3215
CD 90
CY 152
CR 442
CU 724
CT 508
Ci 285
Ch 499
Co 1959
Cn 1
Cl 845
Ca 1677
Ce 73
Cy 59
Cr 223
Cu 138
ix 386
iz 562
iq 93
ip 1571
is 35456
ir 12329
iu 857
it 29668
iw 13
iv 5545
ii 6
ih 25
ik 2624
im 9859
il 14649
io 7375
in 49591
ia 2739
ic 8443
ib 864
ie 10206
id 6864
ig 6886
if 5011
V  410
V' 2
V, 16
V. 176
V: 1
VA 308
i; 4
i: 4
VE 281
i? 1
VI 1480
VO 261
VS 2
i- 18
i, 38
i. 16
i! 4
i  68
i' 402
Va 151
Ve 231
Vh 1
Vi 139
Vo 84
Vu 8
